Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1,2020,October,97.0,King and Queen,908.0,2971.0,156644.0,0.0,0.0,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
2,2019,April,115.0,Mathews County,908.0,2971.0,21602.0,0.0,0.0,37.4253479,-76.2688078,Non-matching,POINT (-76.2688078 37.4253479)
3,2019,August,97.0,King and Queen,908.0,2971.0,51338.0,0.0,0.0,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
4,2020,May,133.0,Northumberland County,270.0,627.0,67633.0,0.0,0.0,37.8569736,-76.3796872,Matching and updated,POINT (-76.3796872 37.8569736)
5,2019,May,97.0,King and Queen,908.0,2971.0,54561.0,0.0,0.0,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
6,2020,June,760.0,Richmond City,2.0,4.0,74688.0,0.0,0.0,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
7,2020,June,61.0,Fauquier County,3.0,8.0,74688.0,0.0,0.0,38.7441032,-77.8215847,Matching and updated,POINT (-77.8215847 38.7441032)
8,2020,May,13.0,Arlington County,908.0,2971.0,35710.515,0.0,0.0,38.8783374,-77.1007034,Matching and updated,POINT (-77.1007034 38.8783374)
9,2019,December,595.0,Emporia City,54.0,87.0,14318.0,0.0,0.0,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
10,2019,February,11.0,Appomattox County,798.0,1280.0,31341.32,0.0,0.0,37.3707253,-78.8109404,Matching and updated,POINT (-78.8109404 37.3707253)
11,2019,March,690.0,Martinsville City,393.0,1526.0,11493.75,147.0,0.0,36.6835269,-79.8636475,Matching and updated,POINT (-79.8636475 36.6835269)
12,2021,January,143.0,Pittsylvania County,908.0,2971.0,0.0,0.0,0.0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
13,2019,September,109.0,Louisa County,1411.0,2890.0,42024.0,0.0,0.0,37.9716808,-77.9591779,Matching and updated,POINT (-77.9591779 37.9716808)
14,2021,April,159.0,Richmond County,27.0,74.0,446632.0,0.0,0.0,37.9428935,-76.7305609,Matching and updated,POINT (-76.7305609 37.9428935)
15,2020,August,103.0,Lancaster County,463.0,873.0,70896.0,0.0,0.0,37.7038307,-76.4131985,Matching and updated,POINT (-76.4131985 37.7038307)
16,2021,June,165.0,Rockingham County,1300.0,2606.0,73972.38,281.0,461.0,38.5112574,-78.876307,Matching and updated,POINT (-78.876307 38.5112574)
17,2020,May,17.0,Bath County,311.0,660.0,21773.98,0.0,0.0,38.0689876,-79.732898,Matching and updated,POINT (-79.732898 38.0689876)
18,2019,April,185.0,Tazewell County,2724.0,6175.0,81717.1,40.0,0.0,37.1253949,-81.5629237,Matching and updated,POINT (-81.5629237 37.1253949)
19,2019,July,630.0,Fredericksburg City,868.0,2024.0,59548.0,505.0,926.0,38.2992718,-77.4866583,Matching and updated,POINT (-77.4866583 38.2992718)
20,2020,June,99.0,King George County,223.0,557.0,10302.41,0.0,0.0,38.2771787,-77.1627015,Matching and updated,POINT (-77.1627015 38.2771787)
21,2019,April,63.0,Floyd County,356.0,926.0,14345.73,0.0,0.0,36.9314381,-80.3503087,Matching and updated,POINT (-80.3503087 36.9314381)
22,2020,June,167.0,Russell County,757.0,1709.0,26444.75,0.0,0.0,36.9334198,-82.0959342,Matching and updated,POINT (-82.0959342 36.9334198)
23,2019,February,57.0,Essex County,231.0,499.0,25856.0,0.0,0.0,37.9394802,-76.9418713,Matching and updated,POINT (-76.9418713 37.9394802)
24,2021,May,135.0,Nottoway County,205.0,687.0,19097.0,0.0,0.0,37.1436955,-78.0521623,Matching and updated,POINT (-78.0521623 37.1436955)
25,2020,March,115.0,Mathews County,908.0,2971.0,27560.0,0.0,0.0,37.4253479,-76.2688078,Non-matching,POINT (-76.2688078 37.4253479)
26,2019,November,79.0,Greene County,536.0,1354.0,44019.57,86.0,1422.0,38.2979805,-78.4701629,Matching and updated,POINT (-78.4701629 38.2979805)
27,2020,June,109.0,Louisa County,1205.0,2289.0,11084.0,0.0,0.0,37.9716808,-77.9591779,Matching and updated,POINT (-77.9591779 37.9716808)
28,2019,July,81.0,Greensville County,74.0,269.0,158112.0,0.0,0.0,36.6802247,-77.5602607,Matching and updated,POINT (-77.5602607 36.6802247)
29,2020,March,700.0,Newport News City,1641.0,4134.0,322903.0,450.0,16054.0,37.0759784,-76.5217187,Matching and updated,POINT (-76.5217187 37.0759784)
30,2019,April,149.0,Prince George County,2.0,2.0,74688.0,0.0,0.0,37.1873255,-77.2209931,Matching and updated,POINT (-77.2209931 37.1873255)
31,2020,December,163.0,Rockbridge County,96.0,2604.0,3781.12,0.0,0.0,37.8145174,-79.4477537,Matching and updated,POINT (-79.4477537 37.8145174)
32,2020,August,730.0,Petersburg City,0.0,10265.0,0.0,0.0,0.0,37.2047302,-77.3923681,Matching and updated,POINT (-77.3923681 37.2047302)
33,2021,June,37.0,Charlotte County,796.0,1323.0,15227.0,0.0,0.0,37.0140909,-78.661424,Matching and updated,POINT (-78.661424 37.0140909)
34,2021,August,89.0,Henry County,2822.0,6523.0,74249.53,0.0,0.0,36.6206074,-79.9806728,Matching and updated,POINT (-79.9806728 36.6206074)
35,2020,August,67.0,Franklin County,664.0,2285.0,37424.86,0.0,0.0,36.9923498,-79.8839586,Matching and updated,POINT (-79.8839586 36.9923498)
36,2020,May,51.0,Dickenson County,703.0,1390.0,33592.0,0.0,0.0,37.137081,-82.3492083,Matching and updated,POINT (-82.3492083 37.137081)
37,2019,August,115.0,Mathews County,908.0,2971.0,30514.0,0.0,0.0,37.4253479,-76.2688078,Non-matching,POINT (-76.2688078 37.4253479)
38,2021,May,97.0,King and Queen County,274.0,635.0,203555.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
39,2020,November,195.0,Wise County,1337.0,3817.0,56497.97,0.0,0.0,36.9745607,-82.6215601,Matching and updated,POINT (-82.6215601 36.9745607)
40,2020,April,1.0,Accomack County,1490.0,5048.0,111528.0,232.0,0.0,37.7659435,-75.7578073,Matching and updated,POINT (-75.7578073 37.7659435)
41,2020,July,63.0,Floyd County,317.0,726.0,14378.35,0.0,0.0,36.9314381,-80.3503087,Matching and updated,POINT (-80.3503087 36.9314381)
42,2021,September,5.0,Alleghany County,908.0,2971.0,15113.6,0.0,0.0,37.7879048,-80.008669,Matching and updated,POINT (-80.008669 37.7879048)
43,2020,May,640.0,Galax City,327.0,784.0,16926.0,0.0,0.0,36.6656397,-80.9143083,Matching and updated,POINT (-80.9143083 36.6656397)
44,2020,August,117.0,Mecklenburg County,1621.0,2672.0,10002.0,0.0,0.0,36.6872563,-78.3689592,Matching and updated,POINT (-78.3689592 36.6872563)
45,2020,December,113.0,Madison County,237.0,581.0,42069.17,0.0,0.0,38.4120586,-78.2769613,Matching and updated,POINT (-78.2769613 38.4120586)
46,2020,February,520.0,Bristol City,445.0,2247.0,2610.0,110.0,0.0,36.6169541,-82.1575641,Matching and updated,POINT (-82.1575641 36.6169541)
47,2020,December,540.0,Charlottesville City,1903.0,11702.0,47021.09,0.0,0.0,38.0376579,-78.4853806,Matching and updated,POINT (-78.4853806 38.0376579)
48,2020,July,760.0,Richmond City,7013.0,13931.0,38324.0,0.0,0.0,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
49,2019,February,177.0,Spotsylvania County,2364.0,7586.0,158855.0,194.0,9767.0,38.1823112,-77.6562804,Matching and updated,POINT (-77.6562804 38.1823112)
50,2021,June,159.0,Richmond County,27.0,72.0,740260.0,0.0,0.0,37.9428935,-76.7305609,Matching and updated,POINT (-76.7305609 37.9428935)
51,2019,November,65.0,Fluvanna County,474.0,953.0,20265.43,132.0,3071.0,37.8305761,-78.2844345,Matching and updated,POINT (-78.2844345 37.8305761)
52,2020,July,760.0,Richmond City,0.0,10670.0,0.0,0.0,0.0,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
53,2019,February,179.0,Stafford County,1330.0,3950.0,42641.0,1069.0,2566.0,38.4153856,-77.4548719,Matching and updated,POINT (-77.4548719 38.4153856)
54,2021,January,690.0,Martinsville City,241.0,2027.0,14564.8,0.0,0.0,36.6835269,-79.8636475,Matching and updated,POINT (-79.8636475 36.6835269)
55,2021,April,21.0,Bland County,179.0,427.0,51652.53,0.0,0.0,37.1306124,-81.1258532,Matching and updated,POINT (-81.1258532 37.1306124)
56,2021,March,775.0,Salem City,464.0,1216.0,24336.3,0.0,0.0,37.2853329,-80.0552407,Matching and updated,POINT (-80.0552407 37.2853329)
57,2020,November,193.0,Westmoreland County,360.0,905.0,6569.0,0.0,0.0,38.109238,-76.8040731,Matching and updated,POINT (-76.8040731 38.109238)
58,2020,February,181.0,Surry County,117.0,198.0,18275.0,0.0,0.0,37.1197611,-76.8801717,Matching and updated,POINT (-76.8801717 37.1197611)
59,2020,December,7.0,Amelia County,226.0,625.0,14855.0,0.0,0.0,37.3319271,-77.9774619,Matching and updated,POINT (-77.9774619 37.3319271)
60,2019,July,1.0,Accomack County,1542.0,4451.0,98817.0,0.0,0.0,37.7659435,-75.7578073,Matching and updated,POINT (-75.7578073 37.7659435)
61,2019,May,153.0,Prince William County,23.0,88.0,168.0,0.0,0.0,38.7011187,-77.4795791,Matching and updated,POINT (-77.4795791 38.7011187)
62,2020,August,690.0,Martinsville City,181.0,2380.0,11724.22,0.0,0.0,36.6835269,-79.8636475,Matching and updated,POINT (-79.8636475 36.6835269)
63,2019,June,47.0,Culpeper County,21.0,57.0,74688.0,0.0,0.0,38.4859303,-77.9564758,Matching and updated,POINT (-77.9564758 38.4859303)
64,2020,May,670.0,Hopewell City,0.0,865.0,0.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
65,2020,June,35.0,Carroll County,285.0,717.0,17018.6,0.0,0.0,36.7324256,-80.728043,Matching and updated,POINT (-80.728043 36.7324256)
66,2019,November,143.0,Pittsylvania County,648.0,1563.0,17708.05,0.0,0.0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
67,2019,August,105.0,Lee County,470.0,1350.0,27360.9,0.0,0.0,36.7017206,-83.1301117,Matching and updated,POINT (-83.1301117 36.7017206)
68,2019,July,113.0,Madison County,281.0,647.0,20538.41,0.0,0.0,38.4120586,-78.2769613,Matching and updated,POINT (-78.2769613 38.4120586)
69,2019,December,85.0,Hanover County,606.0,2283.0,629.0,0.0,0.0,37.7601655,-77.4909916,Matching and updated,POINT (-77.4909916 37.7601655)
70,2019,January,199.0,York County,299.0,882.0,51866.0,215.0,2068.0,37.2209139,-76.395533,Matching and updated,POINT (-76.395533 37.2209139)
71,2020,June,141.0,Patrick County,765.0,2229.0,27628.0,0.0,0.0,36.6673274,-80.2861409,Matching and updated,POINT (-80.2861409 36.6673274)
72,2021,August,77.0,Grayson County,797.0,2242.0,56293.03,0.0,0.0,36.6563026,-81.2253365,Matching and updated,POINT (-81.2253365 36.6563026)
73,2020,April,670.0,Hopewell City,132.0,130.0,26705.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
74,2021,April,820.0,Waynesboro City,199.0,423.0,13959.51,100.0,2052.0,38.0671571,-78.9014197,Matching and updated,POINT (-78.9014197 38.0671571)
75,2019,June,790.0,STAUNTON CITY,480.0,5367.0,22940.35,0.0,1136.0,38.1580558,-79.0615011,Matching and updated,POINT (-79.0615011 38.1580558)
76,2019,June,137.0,Orange County,288.0,693.0,6683.0,0.0,0.0,38.2504394,-78.0099795,Matching and updated,POINT (-78.0099795 38.2504394)
77,2020,October,9.0,Amherst County,1460.0,3269.0,114609.86,1108.0,4100.0,37.6303621,-79.1478477,Matching and updated,POINT (-79.1478477 37.6303621)
78,2019,January,570.0,Colonial Heights City,0.0,2497.0,0.0,0.0,0.0,37.2616846,-77.3968043,Matching and updated,POINT (-77.3968043 37.2616846)
79,2020,March,63.0,Floyd County,455.0,1032.0,13990.62,0.0,0.0,36.9314381,-80.3503087,Matching and updated,POINT (-80.3503087 36.9314381)
80,2020,January,87.0,Henrico County,9.0,15.0,74688.0,0.0,0.0,37.4375205,-77.300333,Matching and updated,POINT (-77.300333 37.4375205)
81,2020,October,670.0,Hopewell City,0.0,1109.0,0.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
82,2021,January,11.0,Appomattox County,994.0,1812.0,39667.02,0.0,0.0,37.3707253,-78.8109404,Matching and updated,POINT (-78.8109404 37.3707253)
83,2020,March,127.0,New Kent County,483.0,1307.0,0.0,0.0,0.0,37.5029094,-76.9828566,Matching and updated,POINT (-76.9828566 37.5029094)
84,2020,September,590.0,Danville City,2298.0,5963.0,109065.7,0.0,0.0,36.5833337,-79.4080707,Matching and updated,POINT (-79.4080707 36.5833337)
85,2019,April,61.0,Fauquier County,772.0,1635.0,67229.36,0.0,0.0,38.7441032,-77.8215847,Matching and updated,POINT (-77.8215847 38.7441032)
86,2019,August,117.0,Mecklenburg County,1197.0,32657.0,8211.0,0.0,0.0,36.6872563,-78.3689592,Matching and updated,POINT (-78.3689592 36.6872563)
87,2020,September,143.0,Pittsylvania County,908.0,2971.0,0.0,0.0,0.0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
88,2021,March,730.0,Petersburg City,620.0,1402.0,6156.0,0.0,0.0,37.2047302,-77.3923681,Matching and updated,POINT (-77.3923681 37.2047302)
89,2019,April,183.0,Sussex County,106.0,284.0,9433.0,0.0,0.0,36.9266454,-77.2597319,Matching and updated,POINT (-77.2597319 36.9266454)
90,2020,June,97.0,King and Queen County,394.0,821.0,227504.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
91,2019,April,179.0,Stafford County,1300.0,3578.0,56980.0,1356.0,1780.0,38.4153856,-77.4548719,Matching and updated,POINT (-77.4548719 38.4153856)
